名称,ひらがな,カプ名フラグ,1文字目,2文字目,3文字目,4文字目
青空,あおぞら,0,1,5,5,1
握手,あくしゅ,0,1,3,3,0
アクセル,あくせる,0,1,3,4,3
足首,あしくび,0,1,2,3,2
あじさい,あじさい,0,1,2,1,2
味付け,あじつけ,0,1,2,3,4
扱い,あつかい,0,1,3,1,2
イエロー,いえろー,0,2,4,5,0
居酒屋,いざかや,0,2,1,1,1
一員,いちいん,0,2,2,2,7
いっぱい,いっぱい,0,2,6,1,2
一般,いっぱん,0,2,6,1,7
一服,いっぷく,0,2,6,3,3
一方,いっぽう,0,2,6,5,3
イメージ,いめーじ,0,2,4,2,0
医療,いりょう,0,2,5,3,0
ウイルス,ういるす,0,3,2,3,3
ウインク,ういんく,0,3,2,7,3
占い,うらない,0,3,1,1,2
売り上げ,うりあげ,0,3,2,1,4
雨量,うりょう,0,3,5,3,0
運賃,うんちん,0,3,7,2,7
栄養,えいよう,0,4,2,5,3
エリート,えりーと,0,4,2,5,0
園芸,えんげい,0,4,7,4,2
エンスト,えんすと,0,4,7,3,5
演奏,えんそう,0,4,7,5,3
応援,おうえん,0,5,3,4,7
大雨,おおあめ,0,5,5,1,4
大方,おおかた,0,5,5,1,1
オーバー,おーばー,0,5,1,0,0
大ばか,おおばか,0,5,5,1,1
大雪,おおゆき,0,5,5,3,2
おかわり,おかわり,0,5,1,1,2
お似合い,おにあい,0,5,2,1,2
おにぎり,おにぎり,0,5,2,2,2
オフィス,おふぃす,0,5,2,3,0
親指,おやゆび,0,5,1,3,2
オレンジ,おれんじ,0,5,4,7,2
温室,おんしつ,0,5,7,2,3
解決,かいけつ,0,1,2,4,3
海水,かいすい,0,1,2,3,2
快速（電車）,かいそく,0,1,2,5,3
飼い主,かいぬし,0,1,2,3,2
格言,かくげん,0,1,3,4,7
額縁,がくぶち,0,1,3,3,2
学歴,がくれき,0,1,3,4,2
片側,かたがわ,0,1,1,1,1
課長,かちょう,0,1,5,3,0
カップル,かっぷる,0,1,6,3,3
活躍,かつやく,0,1,3,1,3
悲しみ,かなしみ,0,1,1,2,2
金づち,かなづち,0,1,1,3,2
金持ち,かねもち,0,1,4,5,2
髪型,かみがた,0,1,2,1,1
