名称,ひらがな,カプ名フラグ,1文字目,2文字目,3文字目,4文字目
リゼアン,りぜあん,1,2,4,1,7
リサさよ,りささよ,1,2,1,1,5
みずえな,みずえな,1,2,3,4,1
とこアン,とこあん,1,5,5,1,7
ギバとこ,ぎばとこ,1,2,1,5,5
みつしの,みつしの,1,2,3,2,5
あくしお,あくしお,1,1,3,2,5
しずかす,しずかす,1,2,3,1,3
とこリゼ,とこりぜ,1,5,5,2,4
えなまふ,えなまふ,1,4,1,1,3
かえみと,かえみと,1,1,4,2,5
ゆうぽむ,ゆうぽむ,1,3,3,5,3
ぺこみこ,ぺこみこ,1,4,5,2,5
とおまど,とおまど,1,5,5,1,5
さよつぐ,さよつぐ,1,1,5,3,3
さよひな,さよひな,1,1,5,2,1
カエしの,かえしの,1,1,4,2,5
カヲしの,かをしの,1,1,5,2,5
さくゆい,さくゆい,1,1,3,3,2
みこみさ,みこみさ,1,2,5,2,1
エデレス,えでれす,1,4,4,4,3
ようりこ,ようりこ,1,5,3,2,5
ノエフレ,のえふれ,1,5,4,3,4
リサゆき,りさゆき,1,2,1,3,2
フブミオ,ふぶみお,1,3,3,2,5
かなしず,かなしず,1,1,1,2,3
みさここ,みさここ,1,2,1,5,5
ようちか,ようちか,1,5,3,2,1
あだしま,あだしま,1,1,1,2,1
あやスバ,あやすば,1,1,1,3,1
みこくろ,みこくろ,1,2,5,3,5
のばまき,のばまき,1,5,1,1,2
マリるし,まりるし,1,1,2,3,2
ひなまど,ひなまど,1,2,1,1,5
やちいろ,やちいろ,1,1,2,2,5
マリカタ,まりかた,1,1,2,1,1
ゆゆりり,ゆゆりり,1,3,3,2,2
りんさよ,りんさよ,1,2,7,1,5
あいりな,あいりな,1,1,2,2,1
ゆうせつ,ゆうせつ,1,3,3,4,3
まふえむ,まふえむ,1,1,3,4,3
あさふゆ,あさふゆ,1,1,1,3,3
ししラミ,ししらみ,1,2,2,1,2
ぺこるし,ぺこるし,1,4,5,3,2
あなぽむ,あなぽむ,1,1,1,5,3
かすあり,かすあり,1,1,3,1,2
おかころ,おかころ,1,5,1,5,5
エマかり,えまかり,1,4,1,1,2
あやちさ,あやちさ,1,1,1,2,1
アオしの,あおしの,1,1,5,2,5
せつかす,せつかす,1,4,3,1,3
えりのぞ,えりのぞ,1,4,2,5,5
にこまき,にこまき,1,2,5,1,2
いちさき,いちさき,1,2,2,1,2
たづまい,たづまい,1,1,3,1,2
るいまし,るいまし,1,3,2,1,2
しおぽむ,しおぽむ,1,2,5,5,3
よしりこ,よしりこ,1,5,2,2,5
ゆうしず,ゆうしず,1,3,3,2,3
ゆきさよ,ゆきさよ,1,3,2,1,5
せつかり,せつかり,1,4,3,1,2
やしなる,やしなる,1,1,2,1,3
かなえな,かなえな,1,1,1,4,1
あなかす,あなかす,1,1,1,1,3
まどこい,まどこい,1,1,5,5,2
メアカタ,めあかた,1,4,1,1,1
たづりり,たづりり,1,1,3,2,2
たかなほ,たかなほ,1,1,1,1,5
リゼるる,りぜるる,1,2,4,3,3
あいしず,あいしず,1,1,2,2,3
かえふみ,かえふみ,1,1,4,3,2
しほなみ,しほなみ,1,2,5,1,2
ちよなぎ,ちよなぎ,1,2,5,1,2
もゆミリ,もゆみり,1,5,3,2,2
さあかす,さあかす,1,1,1,1,3
ナミロビ,なみろび,1,1,2,5,2
ちかりこ,ちかりこ,1,2,1,2,5
かなココ,かなここ,1,1,1,5,5
はるみち,はるみち,1,1,3,2,2
ゆゆまい,ゆゆまい,1,3,3,1,2
レイマリ,れいまり,1,4,2,1,2
ななまし,ななまし,1,1,1,1,2
モカリサ,もかりさ,1,5,1,2,1
ワトレイ,わとれい,1,1,5,4,2
りかさと,りかさと,1,2,1,1,5
せつあゆ,せつあゆ,1,4,3,1,3
あすかす,あすかす,1,1,3,1,3
きらさや,きらさや,1,2,1,1,1
ヒメヒナ,ひめひな,1,2,4,2,1
ユウマリ,ゆうまり,1,3,3,1,2
かおちさ,かおちさ,1,1,5,2,1
ひかまひ,ひかまひ,1,2,1,1,2
ひなつぐ,ひなつぐ,1,2,1,3,3
のぞみぞ,のぞみぞ,1,5,5,2,5
ひなあや,ひなあや,1,2,1,1,1
エリみほ,えりみほ,1,4,2,2,5
ひびみく,ひびみく,1,2,2,2,3
ふたかお,ふたかお,1,3,1,1,5
かなまり,かなまり,1,1,1,1,2
りんあこ,りんあこ,1,2,7,1,5
りんみと,りんみと,1,2,7,2,5
ようよし,ようよし,1,5,3,5,2
エルアナ,えるあな,1,4,3,1,1
ひなちさ,ひなちさ,1,2,1,2,1
ちかなん,ちかなん,1,2,1,1,7
ようまり,ようまり,1,5,3,1,2
やちしお,やちしお,1,1,2,2,5
うづりん,うづりん,1,3,3,2,7
だいよし,だいよし,1,1,2,5,2
くみかな,くみかな,1,3,2,1,1
まみみね,まみみね,1,1,2,2,4
ゆりもこ,ゆりもこ,1,3,2,5,5
マリつば,まりつば,1,1,2,3,1
ちかよし,ちかよし,1,2,1,5,2
かれひか,かれひか,1,1,4,2,1
よしまる,よしまる,1,5,2,1,3
かなふみ,かなふみ,1,1,1,3,2
ななかれ,ななかれ,1,1,1,1,4
かなダイ,かなだい,1,1,1,1,2
かなりこ,かなりこ,1,1,1,2,5
ゆずめい,ゆずめい,1,3,3,4,2
なおかれ,なおかれ,1,1,5,1,4
ゆかマキ,ゆかまき,1,3,1,1,2
みさかお,みさかお,1,2,1,1,5
ネモクロ,ねもくろ,1,4,5,3,5
よしルビ,よしるび,1,5,2,3,2
ちかダイ,ちかだい,1,2,1,1,2
アンプリ,あんぷり,1,1,7,3,2
かえみゆ,かえみゆ,1,1,4,2,3
ひなまや,ひなまや,1,2,1,1,1
ゆうその,ゆうその,1,3,3,5,5
かなよし,かなよし,1,1,1,5,2
かともこ,かともこ,1,1,5,5,5
ゆうみも,ゆうみも,1,3,3,2,5
くみれい,くみれい,1,3,2,4,2
さよあこ,さよあこ,1,1,5,1,5
かなひよ,かなひよ,1,1,1,2,5
まつはる,まつはる,1,1,3,1,3
ちさかの,ちさかの,1,2,1,1,5
ちかまり,ちかまり,1,2,1,1,2
なぎほの,なぎほの,1,1,2,5,5
つばクリ,つばくり,1,3,1,3,2
ぐんたか,ぐんたか,1,3,7,1,1
ことうみ,ことうみ,1,5,5,3,2
いちはし,いちはし,1,2,2,1,2
しずしほ,しずしほ,1,2,3,2,5
ダイマリ,だいまり,1,1,2,1,2
ともひま,ともひま,1,5,5,2,1
みおあい,みおあい,1,2,5,1,2
ようかな,ようかな,1,5,3,1,1
ダイアコ,だいあこ,1,1,2,1,5
えりまき,えりまき,1,4,2,1,2
あきゆか,あきゆか,1,1,2,3,1
エリまほ,えりまほ,1,4,2,1,5
まどほむ,まどほむ,1,1,5,5,3
にこのぞ,にこのぞ,1,2,5,5,5
ドロベア,どろべあ,1,5,5,4,1
ほのうみ,ほのうみ,1,5,5,3,2
えりうみ,えりうみ,1,4,2,3,2
みらリコ,みらりこ,1,2,1,2,5
ぎんすみ,ぎんすみ,1,2,7,3,2
みほまほ,みほまほ,1,2,5,1,5
ひびクリ,ひびくり,1,2,2,3,2
そのみも,そのみも,1,5,5,2,5
コウりん,こうりん,1,5,3,2,7
のぞまき,のぞまき,1,5,5,1,2
ゆかきり,ゆかきり,1,3,1,2,2
ゆうにぼ,ゆうにぼ,1,3,3,2,5
ミケシロ,みけしろ,1,2,4,2,5
きりしら,きりしら,1,2,2,2,1
チトユー,ちとゆー,1,2,5,3,0
しきフレ,しきふれ,1,2,2,3,4
みほゆか,みほゆか,1,2,5,3,1
ほのえり,ほのえり,1,5,5,4,2
ダーみほ,だーみほ,1,1,2,5,0
ケイダジ,けいだじ,1,4,2,1,2
ゆかエリ,ゆかえり,1,3,1,4,2
ほのまき,ほのまき,1,5,5,1,2
まほミカ,まほみか,1,1,5,2,1
ダーまほ,だーまほ,1,1,1,5,0
ありふみ,ありふみ,1,1,2,3,2
ミヅリリ,みづりり,1,2,3,2,2
かなあり,かなあり,1,1,1,1,2
みらしず,みらしず,1,2,1,2,3
りんぱな,りんぱな,1,2,7,1,1
ゆめロラ,ゆめろら,1,3,4,5,1
うみまき,うみまき,1,3,2,1,2
しほゆき,しほゆき,1,2,5,3,2
ナオアリ,なおあり,1,1,5,1,2
にこえり,にこえり,1,2,5,4,2
ことえり,ことえり,1,5,5,4,2
ほのにこ,ほのにこ,1,5,5,2,5
ことほの,ことほの,1,5,5,5,5
りんまき,りんまき,1,2,7,1,2
ほののぞ,ほののぞ,1,5,5,5,5
ココチノ,ここちの,1,5,5,2,5
はるうさ,はるうさ,1,1,3,3,1
りーくる,りーくる,1,2,3,3,0
まきぱな,まきぱな,1,1,2,1,1
きよやち,きよやち,1,2,5,1,2
ツバほの,つばほの,1,3,1,5,5
ゆうさみ,ゆうさみ,1,3,3,1,2
のぞうみ,のぞうみ,1,5,5,3,2
にことり,にことり,1,2,5,5,2
あかよど,あかよど,1,1,1,5,5
はるちは,はるちは,1,1,3,2,1
かげぬい,かげぬい,1,1,4,3,2
うみにこ,うみにこ,1,3,2,2,5
ことまき,ことまき,1,5,5,1,2
ユミクリ,ゆみくり,1,3,2,3,2
ミカアニ,みかあに,1,2,1,1,2
マナりつ,まなりつ,1,1,1,2,3
ひびかな,ひびかな,1,2,2,1,1
トトミミ,ととみみ,1,5,5,2,2
マリアス,まりあす,1,1,2,1,3
もみいち,もみいち,1,5,2,2,2
なおれい,なおれい,1,1,5,4,2
ネギトロ,ねぎとろ,1,4,2,5,5
マリアリ,まりあり,1,1,2,1,2
ほむあん,ほむあん,1,5,3,1,7
